,id,bert-0,bert-1,bert-2,bert-3,bert-4,bert-5,bert-6,bert-7,bert-8,bert-9,bert-10,bert-11,bert-12,bert-13,bert-14,bert-15,bert-16,bert-17,bert-18,bert-19,bert-20,bert-21,bert-22,bert-23,bert-24
0,819952,0.29110277,0.011373624,-0.3578642,0.10975547,0.3078397,0.07706237,-0.06008872,0.028126046,0.22727177,0.09631024,-0.23054585,0.06417759,-0.0010666419,0.07392576,0.09366999,-0.11235291,-0.14500609,0.10784458,0.086879194,-0.013347666,-0.073380396,-0.07033674,-0.06559144,-0.06815386,0.02139022
1,819949,0.43027192,0.2118313,-0.26975903,-0.076436125,0.18714997,0.16803029,-0.2710236,-0.0027289614,0.29050818,-0.15183525,-0.05519071,-0.008121832,0.0628627,0.16513777,0.07059904,-0.10912587,0.00038518384,0.06703317,0.25348267,-0.041849423,-0.22642294,0.0083504645,-0.013110893,0.102888115,0.011569198
2,819947,0.4862527,0.097914785,-0.18234044,-0.11902308,0.20028251,0.34002605,-0.19078726,0.036141656,0.29241705,-0.07816218,-0.14642574,-0.024595026,0.058171906,0.08998535,0.11637269,-0.20005092,-0.04556581,0.051651854,0.20364228,-0.05415456,-0.14369956,-0.008649316,-0.038830847,0.05450143,0.004963588
3,819943,0.426583,0.29353476,-0.29281884,0.11517713,0.18651806,0.0797793,-0.27810633,-0.0022381265,0.14442733,-0.041736726,-0.15415543,0.07136668,-0.06205747,0.28202048,0.03261795,0.010890247,-0.04556099,0.12014913,0.053369973,-0.04731001,-0.14666772,-0.073990375,-0.058675766,-0.027585804,0.07610262
4,819941,0.3708107,0.032579817,-0.2657869,0.07348951,0.13124765,0.12970339,-0.26408118,0.111565635,0.120769456,0.11285496,-0.36784947,-0.18687169,0.069898784,0.099621184,0.13753437,-0.06551122,-0.08291943,0.085082136,0.098805435,-0.08918165,-0.014382437,-0.027940528,-0.06660956,-0.05660081,-0.061289053
5,819938,0.39136493,0.13526535,-0.22980967,0.033420697,0.21365848,0.1370584,-0.16620156,0.17330378,0.258296,-0.05870531,-0.18858197,0.21734865,-0.044616446,0.2327834,0.026438564,-0.03705098,-0.21608414,0.037814043,0.09637751,0.023432251,-0.08513871,-0.07515742,0.07275402,0.029383834,0.095077336
6,819935,0.4365348,0.22511536,-0.29500943,0.06672212,0.25892773,0.14172392,-0.26615754,0.04667853,0.13494724,0.0020924024,-0.13299806,0.17397922,-0.028993487,0.15873215,0.12052426,-0.13184725,-0.10829781,0.058523398,0.0826522,0.02103959,-0.16585848,-0.074612945,-0.06334748,-0.065029,0.038450643
7,819933,0.12702313,-0.061389208,-0.00064840633,0.2123028,-0.17507233,0.13795404,-0.04145261,0.049108718,0.028442401,0.04059623,-0.060264125,-0.106534086,-0.110937126,-0.022048587,-0.15031743,-0.021721601,0.12076077,0.016589034,0.080371656,-0.03922658,0.17103916,0.056729373,0.05030488,0.0920272,-0.016379442
8,819931,0.38251692,0.05862177,-0.38724312,0.06887136,0.24611792,0.066783465,-0.19073586,4.031416e-05,0.3013249,-0.08788252,-0.11901871,-0.008206591,-0.03760231,0.28937182,0.07334973,0.008036795,-0.14237303,0.03901173,0.1798805,-0.010182772,-0.19346154,-0.107231066,-0.08724408,-0.039197322,0.013879547
9,819927,0.50665325,0.14067407,-0.22136456,0.15655795,0.2661292,0.15490554,-0.15109989,0.08093983,0.23062882,-0.031555,-0.13743915,0.13619484,-0.10394266,0.15550293,0.0576096,-0.14278881,-0.17521629,0.038880028,0.124139756,-0.07285847,-0.09002669,-0.049107503,0.016888876,-0.011761946,0.011596834
10,819924,0.004110766,-0.117100395,-0.00012165285,0.07370253,0.037703842,0.087682456,0.12909377,0.05917751,-0.2307676,0.090647504,-0.15623409,-0.07314667,-0.108759746,0.13133307,-0.023374146,-0.03666945,-0.010766987,0.04863527,-0.05147759,0.17365824,0.041440908,0.2540115,-0.086436495,0.0037403023,0.06954075
11,819921,0.04238704,0.06635916,-0.013123319,0.050295893,0.16289845,0.06116201,0.12605548,0.15504813,-0.13535048,0.08284668,0.06661166,-0.05849889,-0.24994811,-0.0024091555,-0.05167076,0.041335743,-0.12778626,-0.09848125,0.04091432,-0.080792315,0.06997988,0.08063852,-0.02770698,0.093219474,0.0053499592
12,819919,0.08941123,-0.15495306,0.016110983,0.12403748,0.02301561,0.1783214,0.010710511,0.18032207,-0.087594405,0.012402507,-0.05521583,-0.16937476,-0.13412449,-0.07364389,-0.036167216,0.050749797,0.054429185,-0.031004306,-0.022288077,0.075922765,0.11682233,0.015321914,0.039623003,-0.16514656,0.06678499
13,819917,-0.007295851,-0.10898711,-0.15642866,-0.1799148,0.1733348,0.033091873,0.11318396,0.07816172,-0.119505234,0.036258,-0.0032138522,-0.025417365,-0.14301604,-0.07431294,-0.16795205,0.03684158,-0.15307704,0.03371957,0.061194103,-0.03317055,-0.104900464,-0.14794771,-0.11297268,0.052111335,0.07942889
14,819912,0.2874931,-0.22207296,-0.115392506,0.2020322,0.20772636,-0.05803347,-0.11627898,0.06560079,0.084441885,0.16392903,-0.020670522,0.13061957,-0.012142127,0.10681862,-0.05157411,0.030854648,-0.10318766,-0.07887892,0.022152767,0.153002,-0.06840948,0.079657234,0.082318135,-0.0059735687,0.0018554814
15,819910,0.24393153,-0.18356283,0.09508293,0.049480055,-0.20347181,0.3205677,-0.021449743,0.3144926,-0.11680466,0.03069748,-0.13652307,-0.13452482,0.13333224,-0.029321317,-0.00060721114,0.0558894,0.029728089,-0.029884176,-0.13474879,-0.09577828,-0.0039053643,-0.005005071,0.09167628,-0.016052702,-0.019195449
16,819906,0.1369172,0.016981665,0.1133599,0.032603003,0.06861203,0.18684405,0.073215604,0.042469487,-0.088777974,0.23579027,0.0066524334,-0.1033168,-0.08128149,-0.08048187,-0.07580947,-0.12989333,0.02139845,-0.0051121693,-0.02152605,-0.004135968,-0.13325092,0.045899276,-0.12545918,0.0023036227,0.19002013
17,819903,0.2987371,-0.017280467,-0.041552354,0.040672522,-0.04246073,0.09408051,-0.01733348,-0.0966742,-0.09601122,0.20756213,-0.19455338,-0.12478403,-0.05004196,0.025849026,-0.017114393,0.121841095,0.15099837,0.089055985,0.10755186,-0.042143576,0.075736254,0.020403126,-0.011760518,-0.23525995,0.08060125
18,819896,0.2155715,-0.10131943,0.03449576,0.0072618285,0.080474265,0.25827247,0.3140484,0.17034328,-0.16803323,0.23830634,-0.041807435,-0.20358154,0.019870896,-0.13306296,0.082296535,0.13515194,-0.0012001051,0.042012174,-0.177718,-0.17284265,-0.051971294,-0.07034927,0.011301422,-0.063929975,0.013416169
19,819889,0.09547526,-0.036471203,-0.040196583,0.17952013,0.0062641352,0.23408276,0.11659902,0.01617809,-0.24384207,0.052899666,0.07636988,-0.032395784,0.00088393316,0.03777727,-0.02365736,-0.04493384,0.09434074,-0.05070706,0.00095099024,0.114250824,-0.099784926,-0.007171264,0.09592123,0.021438306,-0.012644805
20,819886,0.037393574,-0.038767353,-0.062026184,-0.15915954,0.04074414,0.032668374,0.19003288,0.08145423,-0.04374008,0.13487378,-0.021415653,0.04732791,-0.12951413,0.03293081,-0.026927674,0.07207553,-0.21418963,0.040183373,0.024600966,0.0050606197,-0.05511234,0.05354146,-0.11137609,0.099657536,-0.01053074
21,819883,0.08408372,-0.073868796,0.09966111,-0.039359443,0.092344314,0.14467728,0.11373238,-0.043898806,-0.0407182,0.123341754,0.09565005,-0.11152281,-0.059439175,0.011822147,-0.061136946,0.036518984,-0.037398282,-0.013082534,-0.033444013,-0.1241771,-0.126813,-0.055920135,-0.18228349,0.0030644983,0.14082396
22,819882,0.0933433,-0.011639697,0.1558057,0.08662441,0.12409446,0.21951264,0.07473577,-0.06900905,-0.01467661,0.058988836,0.039791733,-0.11598222,-0.0729731,-0.074118674,-0.045527197,-0.024622567,0.028491458,0.0898596,-0.05712565,-0.061279185,-0.038321752,-0.046300896,-0.0976778,-0.04392063,0.13241115
